16U BOYS,16 TEAMS,7 min quarters,40 games,16+16+8,,5 games per team,,,
,,,,,,,,,
A,B,C,D,,A,B,C,D,
A1- SD SHORES,B1- CHANNEL ISLANDS UNITED,C1- LA PREMIER,D1- LA JOLLA UNITED,,1,2,3,4,
A2- SAND CANYON,B2- CARLSBAD,C2- VEGAS/NORTH IRVINE,D2- 680,,8,7,6,5,
A3- CT PREMIER,B3- FOOTHILL WPC,C3- VANGUARD,D3- COMMERCE,,9,10,11,12,
A4- FRASER VALLEY,B4- PASADENA AC,C4- LB SHORE,D4- IMPERIAL,CLICK HERE for TICKETS,16,15,14,13,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
11-Jul,8:00 AM,BUENA PARK HS,16B01,A1- SD SHORES,,A4- FRASER VALLEY,,W/L A1/A4,16U_BOYS
11-Jul,9:00 AM,BUENA PARK HS,16B03,A2- SAND CANYON,,A3- CT PREMIER,,W/L A2/A3,16U_BOYS
11-Jul,10:00 AM,BUENA PARK HS,16B05,D1- LA JOLLA UNITED,,D4- IMPERIAL,,W/L D1/D4,16U_BOYS
11-Jul,11:00 AM,BUENA PARK HS,16B07,D2- 680,,D3- COMMERCE,,W/L D2/D3,16U_BOYS
,,,,,,,,,
11-Jul,1:00 PM,BUENA PARK HS,16B09,L#1,,L#3,,3rd/4thA,16U_BOYS
11-Jul,2:00 PM,BUENA PARK HS,16B11,W#1,,W#3,,1st/2ndA,16U_BOYS
11-Jul,3:00 PM,BUENA PARK HS,16B13,L#5,,L#7,,3rd/4thD,16U_BOYS
11-Jul,4:00 PM,BUENA PARK HS,16B15,W#5,,W#7,,1st/2ndD,16U_BOYS
,,,,,,,,,
DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
11-Jul,8:00 AM,EL MODENA,16B02,C1- LA PREMIER,,C4- LB SHORE,,W/L B1/B4,16U_BOYS
11-Jul,9:00 AM,EL MODENA,16B04,C2- VEGAS/NORTH IRVINE,,C3- VANGUARD,,W/L B2/B3,16U_BOYS
11-Jul,10:00 AM,EL MODENA,16B06,B1- CHANNEL ISLANDS UNITED,,B4- PASADENA AC,,W/L C1/C4,16U_BOYS
11-Jul,11:00 AM,EL MODENA,16B08,B2- CARLSBAD,,B3- FOOTHILL WPC,,W/L C2/C3,16U_BOYS
,,,,,,,,,
11-Jul,12:30 PM,EL MODENA,16B10,L#2,,L#4,,3rd/4thB,16U_BOYS
11-Jul,1:30 PM,EL MODENA,16B12,W#2,,W#4,,1st/2ndB,16U_BOYS
11-Jul,2:30 PM,EL MODENA,16B16,W#6,,W#8,,1st/2ndC,16U_BOYS
,,,,,,,,,
DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
11-Jul,5:00 PM,BUENA PARK HS,16B14,L#6,,L#8,,3rd/4thC,16U_BOYS
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
12-Jul,8:00 AM,BUENA PARK HS,16B17,1stC,,2ndD,,1-8 QF 3v5,16U_BOYS
12-Jul,9:00 AM,BUENA PARK HS,16B19,2ndA,,1stB,,1-8 QF 8v2,16U_BOYS
12-Jul,10:00 AM,BUENA PARK HS,16B21,1stA,,2ndB,,1-8 QF 1v7,16U_BOYS
12-Jul,11:00 AM,BUENA PARK HS,16B23,2ndC,,1stD,,1-8 QF 6v4,16U_BOYS
,,,,,,,,,
12-Jul,1:00 PM,BUENA PARK HS,16B25,L#1C/2D,,L#2A/1B,,5-8 semi  5v8,16U_BOYS
12-Jul,2:00 PM,BUENA PARK HS,16B27,W#2A/1B,,W#1C/2D,,1-4 semi 2v3,16U_BOYS
12-Jul,3:00 PM,BUENA PARK HS,16B29,L#2C/1D,,L#1A/2B,,5-8 semi  6v7,16U_BOYS
12-Jul,4:00 PM,BUENA PARK HS,16B31,W#1A/2B,,W#2C/1D,,1-4 semi 1v4,16U_BOYS
,,,,,,,,,
DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
12-Jul,11:00 AM,EL MODENA,16B18,3rdC,,4thD,,9-16 QF 11v13,16U_BOYS
12-Jul,12:00 PM,EL MODENA,16B20,4thA,,3rdB,,9-16 QF 16v10,16U_BOYS
12-Jul,1:00 PM,EL MODENA,16B22,3rdA,,4thB,,9-16 QF 9v15,16U_BOYS
12-Jul,2:00 PM,EL MODENA,16B24,4thC,,3rdD,,9-16 QF 14v12,16U_BOYS
12-Jul,3:00 PM,EL MODENA,16B26,L#3C/4D,,L#4A/3B,,13-16 semi 13v16,16U_BOYS
12-Jul,4:00 PM,EL MODENA,16B28,W#4A/3B,,W#3C/4D,,9-12 semi 10v11,16U_BOYS
12-Jul,5:00 PM,EL MODENA,16B30,L#4C/3D,,L#3A/4B,,13-16 semi 14v15,16U_BOYS
12-Jul,6:00 PM,EL MODENA,16B32,W#3A/4B,,W#4C/3D,,9-12 semi 9v12,16U_BOYS
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
13-Jul,8:00 AM,BUENA PARK HS,16B33,W#32,,W#28,,9th,16U_BOYS
13-Jul,9:00 AM,BUENA PARK HS,16B34,L#28,,L#32,,11th,16U_BOYS
13-Jul,10:00 AM,BUENA PARK HS,16B35,W#26,,W#30,,13th,16U_BOYS
,,,,,,,,,
13-Jul,12:00 PM,BUENA PARK HS,16B36,L#30,,L#26,,15th,16U_BOYS
13-Jul,1:00 PM,BUENA PARK HS,16B37,L#29,,L#25,,7th,16U_BOYS
13-Jul,2:00 PM,BUENA PARK HS,16B38,W#25,,W#29,,5th,16U_BOYS
,,,,,,,,,
DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
13-Jul,12:40 PM,GOLDEN WEST COLLEGE,16B39,L#27,,L#31,,3rd,16U_BOYS
,,,,,,,,,
DATE,TIME,LOCATION,GAME#,WHITE,S,DARK,S,COMMENTS,DIVISION
13-Jul,10:10 AM,LONG BEACH CITY COLLEGE,16B40,W#31,,W#27,,1st,16U_BOYS